LAMMPS data file — SPC/E water box

648 atoms
432 bonds
216 angles
0 dihedrals
0 impropers

2 atom types
1 bond types
1 angle types

0.0 18.644498 xlo xhi
0.0 18.644498 ylo yhi
0.0 18.644498 zlo zhi

Masses

1 15.9994  # O
2  1.0080  # H

Atoms  # full

1 1 1 -0.8476 1.545410 1.575741 1.503720
2 1 2 0.4238 2.361901 1.575741 2.081079
3 1 2 0.4238 0.728920 1.575741 2.081079
4 2 1 -0.8476 1.547308 1.506301 4.666091
5 2 2 0.4238 2.363798 1.506301 5.243450
6 2 2 0.4238 0.730817 1.506301 5.243450
7 3 1 -0.8476 1.558788 1.574523 7.747631
8 3 2 0.4238 2.375278 1.574523 8.324990
9 3 2 0.4238 0.742298 1.574523 8.324990
10 4 1 -0.8476 1.600411 1.558431 10.923226
11 4 2 0.4238 2.416902 1.558431 11.500585
12 4 2 0.4238 0.783921 1.558431 11.500585
13 5 1 -0.8476 1.525908 1.590781 13.954046
14 5 2 0.4238 2.342398 1.590781 14.531405
15 5 2 0.4238 0.709417 1.590781 14.531405
16 6 1 -0.8476 1.592994 1.536906 17.122913
17 6 2 0.4238 2.409485 1.536906 17.700272
18 6 2 0.4238 0.776504 1.536906 17.700272
19 7 1 -0.8476 1.511339 4.689116 1.547549
20 7 2 0.4238 2.327829 4.689116 2.124908
21 7 2 0.4238 0.694849 4.689116 2.124908
22 8 1 -0.8476 1.591051 4.707979 4.698044
23 8 2 0.4238 2.407542 4.707979 5.275403
24 8 2 0.4238 0.774561 4.707979 5.275403
25 9 1 -0.8476 1.504746 4.661312 7.768118
26 9 2 0.4238 2.321236 4.661312 8.345477
27 9 2 0.4238 0.688255 4.661312 8.345477
28 10 1 -0.8476 1.580840 4.613200 10.889322
29 10 2 0.4238 2.397331 4.613200 11.466681
30 10 2 0.4238 0.764350 4.613200 11.466681
31 11 1 -0.8476 1.521735 4.613072 13.979696
32 11 2 0.4238 2.338226 4.613072 14.557055
33 11 2 0.4238 0.705245 4.613072 14.557055
34 12 1 -0.8476 1.519124 4.685130 17.067122
35 12 2 0.4238 2.335615 4.685130 17.644481
36 12 2 0.4238 0.702634 4.685130 17.644481
37 13 1 -0.8476 1.581478 7.742295 1.586136
38 13 2 0.4238 2.397969 7.742295 2.163495
39 13 2 0.4238 0.764988 7.742295 2.163495
40 14 1 -0.8476 1.555103 7.795857 4.698167
41 14 2 0.4238 2.371593 7.795857 5.275526
42 14 2 0.4238 0.738612 7.795857 5.275526
43 15 1 -0.8476 1.588590 7.736431 7.723977
44 15 2 0.4238 2.405080 7.736431 8.301336
45 15 2 0.4238 0.772100 7.736431 8.301336
46 16 1 -0.8476 1.526037 7.770857 10.881028
47 16 2 0.4238 2.342528 7.770857 11.458386
48 16 2 0.4238 0.709547 7.770857 11.458386
49 17 1 -0.8476 1.533175 7.771600 13.952526
50 17 2 0.4238 2.349665 7.771600 14.529885
51 17 2 0.4238 0.716684 7.771600 14.529885
52 18 1 -0.8476 1.568746 7.769086 17.128650
53 18 2 0.4238 2.385236 7.769086 17.706009
54 18 2 0.4238 0.752255 7.769086 17.706009
55 19 1 -0.8476 1.513462 10.902082 1.528402
56 19 2 0.4238 2.329952 10.902082 2.105761
57 19 2 0.4238 0.696971 10.902082 2.105761
58 20 1 -0.8476 1.562521 10.915729 4.700278
59 20 2 0.4238 2.379012 10.915729 5.277637
60 20 2 0.4238 0.746031 10.915729 5.277637
61 21 1 -0.8476 1.508581 10.854868 7.790638
62 21 2 0.4238 2.325071 10.854868 8.367997
63 21 2 0.4238 0.692090 10.854868 8.367997
64 22 1 -0.8476 1.524554 10.874125 10.868011
65 22 2 0.4238 2.341045 10.874125 11.445370
66 22 2 0.4238 0.708064 10.874125 11.445370
67 23 1 -0.8476 1.555438 10.920654 14.009920
68 23 2 0.4238 2.371928 10.920654 14.587279
69 23 2 0.4238 0.738948 10.920654 14.587279
70 24 1 -0.8476 1.599710 10.895909 17.140777
71 24 2 0.4238 2.416200 10.895909 17.718136
72 24 2 0.4238 0.783219 10.895909 17.718136
73 25 1 -0.8476 1.590721 13.991601 1.531592
74 25 2 0.4238 2.407211 13.991601 2.108951
75 25 2 0.4238 0.774230 13.991601 2.108951
76 26 1 -0.8476 1.534502 13.985313 4.687954
77 26 2 0.4238 2.350992 13.985313 5.265313
78 26 2 0.4238 0.718011 13.985313 5.265313
79 27 1 -0.8476 1.546280 14.014832 7.792081
80 27 2 0.4238 2.362771 14.014832 8.369440
81 27 2 0.4238 0.729790 14.014832 8.369440
82 28 1 -0.8476 1.576610 13.989498 10.838454
83 28 2 0.4238 2.393100 13.989498 11.415813
84 28 2 0.4238 0.760119 13.989498 11.415813
85 29 1 -0.8476 1.590084 13.961864 13.940699
86 29 2 0.4238 2.406575 13.961864 14.518058
87 29 2 0.4238 0.773594 13.961864 14.518058
88 30 1 -0.8476 1.568123 13.971449 17.107095
89 30 2 0.4238 2.384613 13.971449 17.684454
90 30 2 0.4238 0.751632 13.971449 17.684454
91 31 1 -0.8476 1.532314 17.136601 1.580739
92 31 2 0.4238 2.348804 17.136601 2.158098
93 31 2 0.4238 0.715823 17.136601 2.158098
94 32 1 -0.8476 1.589597 17.078061 4.666637
95 32 2 0.4238 2.406088 17.078061 5.243996
96 32 2 0.4238 0.773107 17.078061 5.243996
97 33 1 -0.8476 1.528559 17.085788 7.759635
98 33 2 0.4238 2.345050 17.085788 8.336994
99 33 2 0.4238 0.712069 17.085788 8.336994
100 34 1 -0.8476 1.507564 17.118800 10.835228
101 34 2 0.4238 2.324055 17.118800 11.412587
102 34 2 0.4238 0.691074 17.118800 11.412587
103 35 1 -0.8476 1.549514 17.071625 13.956522
104 35 2 0.4238 2.366004 17.071625 14.533881
105 35 2 0.4238 0.733023 17.071625 14.533881
106 36 1 -0.8476 1.576559 17.100952 17.136008
107 36 2 0.4238 2.393049 17.100952 17.713367
108 36 2 0.4238 0.760068 17.100952 17.713367
109 37 1 -0.8476 4.705574 1.550118 1.522988
110 37 2 0.4238 5.522065 1.550118 2.100347
111 37 2 0.4238 3.889084 1.550118 2.100347
112 38 1 -0.8476 4.649602 1.589679 4.705545
113 38 2 0.4238 5.466092 1.589679 5.282904
114 38 2 0.4238 3.833111 1.589679 5.282904
115 39 1 -0.8476 4.665814 1.583498 7.800581
116 39 2 0.4238 5.482304 1.583498 8.377940
117 39 2 0.4238 3.849323 1.583498 8.377940
118 40 1 -0.8476 4.651893 1.509245 10.904811
119 40 2 0.4238 5.468384 1.509245 11.482170
120 40 2 0.4238 3.835403 1.509245 11.482170
121 41 1 -0.8476 4.636217 1.508318 14.001055
122 41 2 0.4238 5.452707 1.508318 14.578414
123 41 2 0.4238 3.819727 1.508318 14.578414
124 42 1 -0.8476 4.648579 1.598780 17.113990
125 42 2 0.4238 5.465069 1.598780 17.691349
126 42 2 0.4238 3.832088 1.598780 17.691349
127 43 1 -0.8476 4.622630 4.672031 1.517047
128 43 2 0.4238 5.439120 4.672031 2.094406
129 43 2 0.4238 3.806140 4.672031 2.094406
130 44 1 -0.8476 4.694609 4.621604 4.685589
131 44 2 0.4238 5.511099 4.621604 5.262948
132 44 2 0.4238 3.878118 4.621604 5.262948
133 45 1 -0.8476 4.710026 4.666079 7.746686
134 45 2 0.4238 5.526516 4.666079 8.324045
135 45 2 0.4238 3.893535 4.666079 8.324045
136 46 1 -0.8476 4.689508 4.674608 10.850862
137 46 2 0.4238 5.505998 4.674608 11.428221
138 46 2 0.4238 3.873017 4.674608 11.428221
139 47 1 -0.8476 4.622473 4.708573 14.006247
140 47 2 0.4238 5.438964 4.708573 14.583606
141 47 2 0.4238 3.805983 4.708573 14.583606
142 48 1 -0.8476 4.612874 4.700282 17.069276
143 48 2 0.4238 5.429364 4.700282 17.646635
144 48 2 0.4238 3.796383 4.700282 17.646635
145 49 1 -0.8476 4.641221 7.743247 1.596342
146 49 2 0.4238 5.457711 7.743247 2.173701
147 49 2 0.4238 3.824731 7.743247 2.173701
148 50 1 -0.8476 4.660585 7.741349 4.636672
149 50 2 0.4238 5.477075 7.741349 5.214031
150 50 2 0.4238 3.844094 7.741349 5.214031
151 51 1 -0.8476 4.678698 7.723012 7.752871
152 51 2 0.4238 5.495188 7.723012 8.330230
153 51 2 0.4238 3.862207 7.723012 8.330230
154 52 1 -0.8476 4.693436 7.721153 10.847034
155 52 2 0.4238 5.509926 7.721153 11.424393
156 52 2 0.4238 3.876945 7.721153 11.424393
157 53 1 -0.8476 4.695791 7.774658 13.978861
